user_name,repo_name,repo_url,stars
flutter,flutter,https://github.com/flutter/flutter,166000
facebook,react-native,https://github.com/facebook/react-native,119000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,111000
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,84500
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,53600
tldr-pages,tldr,https://github.com/tldr-pages/tldr,51000
google,material-design-icons,https://github.com/google/material-design-icons,50600
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,50600
square,okhttp,https://github.com/square/okhttp,45800
laurent22,joplin,https://github.com/laurent22/joplin,45800
appwrite,appwrite,https://github.com/appwrite/appwrite,45100
android,architecture-samples,https://github.com/android/architecture-samples,44500
square,retrofit,https://github.com/square/retrofit,43100
skylot,jadx,https://github.com/skylot/jadx,41500
dcloudio,uni-app,https://github.com/dcloudio/uni-app,40100
fastlane,fastlane,https://github.com/fastlane/fastlane,39600
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37600
termux,termux-app,https://github.com/termux/termux-app,36000
2dust,v2rayNG,https://github.com/2dust/v2rayNG,35600
